num_0,num_1,num_2,cat_3,cat_4,cat_5,ord_6,ord_7,bin_8,bin_9,target
4.967141530112327,5.629106602850852,-19.941021421072364,C,D,B,Low,Medium,1.0,0.0,0
-1.3826430117118464,-1.074448817942494,6.2383538753535035,B,D,A,High,Medium,0.0,0.0,0
6.476885381006925,-0.7686540700366202,8.077357725400267,A,B,C,Low,High,0.0,1.0,1
15.230298564080254,13.134731613252367,11.487314149837038,D,C,A,Medium,High,1.0,1.0,1
-2.3415337472333597,-6.964610897866884,0.09012362087999605,A,D,B,,High,1.0,0.0,0
-2.3413695694918055,18.641995258873497,4.8460312863522335,A,C,B,Low,Medium,0.0,1.0,1
15.792128155073915,-6.713075913710861,-16.140386799310917,D,B,C,Low,High,1.0,1.0,0
7.674347291529088,0.8919819661257138,2.4012612374934648,A,B,D,Low,Low,0.0,1.0,1
-4.694743859349521,-2.812035954027669,-3.1794945079650763,A,C,A,High,High,0.0,1.0,0
5.425600435859646,1.2341913350096105,-0.7695476929021252,D,,D,Medium,Low,0.0,1.0,1
-4.634176928124623,4.445919950731289,-11.17340000342522,D,B,A,Low,High,0.0,0.0,1
-4.657297535702568,4.338352400888765,11.226639529693347,C,A,B,Medium,Low,0.0,0.0,1
2.419622715660341,-7.531173306205799,-16.50974968959448,C,C,B,Medium,Medium,1.0,1.0,0
-19.13280244657798,-11.229146774475707,2.720116500679925,A,D,B,Low,Low,1.0,1.0,0
-17.249178325130327,25.031717909057107,-9.17508195761011,C,D,D,High,High,1.0,1.0,0
-5.622875292409727,-4.839843396005531,21.185995300777464,B,A,B,High,Medium,1.0,1.0,0
-10.128311203344238,6.9921243867198655,6.953658219936422,B,B,D,High,Medium,1.0,0.0,0
3.142473325952739,-16.076413105231968,-0.2849814480872548,A,B,B,Low,Medium,1.0,0.0,0
-9.08024075521211,-2.7961271990467678,-10.279194516503512,C,A,D,Low,Low,0.0,1.0,0
-14.123037013352915,-1.2719938398244293,8.900292775046717,A,A,C,Low,Medium,1.0,1.0,0
14.65648768921554,4.728150699278325,-32.646358285275035,C,B,C,Low,High,0.0,1.0,1
-2.2577630048653567,-27.22454140991939,3.841701082242972,D,C,A,Low,Medium,0.0,1.0,1
0.6752820468792384,1.6614061307833063,5.103795468822726,D,A,D,Medium,High,1.0,0.0,1
-14.247481862134567,-11.49741455367893,4.517369298901902,D,C,D,Medium,Medium,1.0,1.0,1
-5.443827245251827,3.2434571119492386,8.378467555167381,D,D,C,Low,Low,0.0,0.0,0
1.1092258970986608,-10.36329196838163,-5.6497246437091455,A,B,C,High,Medium,1.0,1.0,1
-11.509935774223027,-8.554826959255813,5.493138406173347,A,C,C,Medium,High,0.0,0.0,1
3.7569801834567196,-2.7362761039326817,-6.699925502756549,A,C,A,Low,High,0.0,1.0,1
-6.006386899188049,-10.523294696031954,-8.30382882668843,B,B,C,Low,Medium,0.0,0.0,0
-2.916937497932768,-4.755344467353549,-10.323462638713632,D,B,A,Medium,Low,0.0,1.0,1
-6.017066122293969,,-2.519796678643627,D,D,A,Medium,Medium,1.0,0.0,1
18.522781845089376,-18.331704516987276,11.112240144011082,D,B,C,Low,Low,0.0,1.0,0
-0.13497224737933922,10.179570524293595,17.15076127453701,C,C,C,High,High,0.0,1.0,1
-10.577109289559004,-12.960486928239284,-2.7041987705742674,C,,C,Low,High,0.0,0.0,0
8.22544912103189,-1.7868088760798353,-6.449679117649062,B,B,D,Medium,Medium,0.0,1.0,0
-12.208436499710222,7.528910814937849,13.294317050943832,B,B,B,Medium,Low,1.0,0.0,0
2.088635950047554,-6.1494410251604315,4.334274626469134,C,A,D,Low,High,0.0,1.0,1
-19.596701238797756,-82.5165899745538,0.2906011613592665,C,B,A,Medium,Low,0.0,0.0,1
-13.281860488984305,2.2623808866742148,-11.057819037845364,A,B,A,Low,Medium,0.0,0.0,1
1.9686123586912352,11.17933822727152,14.317016657169177,A,A,B,High,Low,0.0,0.0,0
7.384665799954105,-11.69315265086469,0.9368482867352805,C,C,B,High,Low,0.0,1.0,1
1.713682811899705,-1.5014783201743893,0.0015979704103645735,D,D,C,Low,High,0.0,0.0,1
-1.1564828238824052,-17.324945949673275,5.416752541505211,C,D,D,Medium,Low,1.0,0.0,1
-3.011036955892888,-3.9320100368219,0.21898253478079058,A,D,D,Medium,Low,1.0,1.0,1
-14.785219903674275,0.34204684538075447,14.746366451137135,B,C,D,High,High,1.0,0.0,1
-7.198442083947087,-8.546246417550657,10.118009824013871,C,D,B,Medium,High,0.0,0.0,0
-4.606387709597875,-4.5699183382523145,-5.6133055079891925,C,C,D,Medium,Medium,1.0,0.0,0
10.571222262189156,-14.082267683074502,0.8690093223982507,D,B,B,Low,High,1.0,0.0,1
3.436182895684614,0.7707861138149362,-5.854196608371978,B,D,D,High,Low,1.0,1.0,1
-176.3040155362734,10.556942488831497,18.89364116942618,D,A,B,High,Medium,1.0,0.0,0
,-10.971438697704636,-7.2287872874918255,B,C,D,Low,,1.0,1.0,1
-3.8508228041631654,-6.226717665523829,-1.1902827183030569,D,D,A,Low,High,1.0,0.0,0
-6.769220003059587,5.0254624645418176,3.63926644088127,B,A,B,High,High,0.0,0.0,0
